Birth Rate,Business Tax Rate,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.038,32.40,12,2932273988.00,0.163,82.00,357,0.112,0,45,45,0.4,0.42,0.554,0.026,0.386,Africa,Sierra Leone
0.045,0.00,,,,,,0.095,0,56,53,0.2,0.475,0.496,0.028,0.377,Africa,Somalia
0.021,32.40,19,403894316555.00,0.087,670.00,200,0.034,0.3,57,53,1.2,0.296,0.651,0.053,0.627,Africa,South Africa
0.037,0.00,,20782116982.00,0.017,32.00,,0.068,,55,53,0.2,0.426,0.54,0.034,0.18,Africa,South Sudan
0.034,36.10,36,67320812663.00,0.067,119.00,180,0.054,0.2,63,60,0.7,0.418,0.551,0.032,0.332,Africa,Sudan
0.031,36.50,56,4145772237.00,0.083,270.00,104,0.058,0.2,48,49,0.6,0.384,0.582,0.034,0.214,Africa,Swaziland
0.04,44.90,26,23874165047.00,0.074,38.00,172,0.039,0,61,59,0.6,0.449,0.52,0.031,0.288,Africa,Tanzania
0.037,48.90,84,3756023048.00,0.08,43.00,270,0.059,0,57,55,0.4,0.42,0.553,0.027,0.38,Africa,Togo
0.019,62.40,11,45951129422.00,0.07,304.00,144,0.014,0.4,77,73,1.2,0.233,0.697,0.07,0.661,Africa,Tunisia
0.044,35.00,33,15493320082.00,0.093,41.00,213,0.049,0.1,59,57,0.5,0.487,0.489,0.024,0.148,Africa,Uganda
0.043,14.40,18,19201691493.00,0.062,87.00,183,0.059,0.1,57,54,0.6,0.468,0.505,0.026,0.392,Africa,Zambia
0.032,34.30,90,10956226611.00,,,242,0.058,0.2,56,55,0.7,0.408,0.552,0.04,0.33,Africa,Zimbabwe
0.037,36.30,7,17870159082.00,0.084,48.00,275,0.074,0.1,61,59,0.6,0.481,0.497,0.022,0.251,Asia,Afghanistan
0.014,38.80,8,10142342770.00,0.037,127.00,500,0.015,0.3,78,71,1.1,0.204,0.692,0.104,0.634,Asia,Armenia
0.019,40.00,8,65951627200.00,0.05,359.00,225,0.032,0.5,74,68,1.1,0.224,0.718,0.058,0.536,Asia,Azerbaijan
0.021,35.00,19,111905616039.00,0.038,27.00,302,0.037,0.1,71,69,0.6,0.311,0.642,0.047,0.312,Asia,Bangladesh
0.02,40.80,36,1840841618.00,0.037,94.00,274,0.033,0.2,68,67,0.7,0.291,0.663,0.046,0.356,Asia,Bhutan
0.016,16.80,101,16691360399.00,0.022,917.00,96,0.008,0.6,80,76,1.1,0.262,0.7,0.038,0.759,Asia,Brunei Darussalam
0.026,21.40,102,12829541141.00,0.056,49.00,173,0.036,0,74,68,0.9,0.314,0.634,0.051,0.2,Asia,Cambodia
0.012,63.50,38,7321891954613.00,0.051,274.00,358,0.013,0.4,76,74,0.7,0.18,0.735,0.085,0.506,Asia,China
0.014,16.50,2,14434619972.00,0.094,310.00,387,0.014,0.3,78,70,1,0.174,0.684,0.142,0.53,Asia,Georgia
0.014,23.00,3,248514003083.00,,,80,,0.7,87,80,2.2,0.119,0.749,0.132,1,Asia,"Hong Kong SAR, China"
0.021,62.90,29,1880100141185.00,0.039,62.00,254,0.045,0.1,68,64,0.7,0.298,0.651,0.051,0.313,Asia,India
0.02,32.20,48,845931645339.00,0.029,99.00,266,0.026,0.1,72,68,1,0.296,0.653,0.051,0.507,Asia,Indonesia
0.008,48.40,22,5905630870455.00,0.1,4641.00,330,0.002,0.8,86,79,1,0.132,0.631,0.237,0.912,Asia,Japan
0.023,28.60,19,188048960311.00,0.039,458.00,188,0.018,0.5,74,64,1.6,0.252,0.683,0.066,0.536,Asia,Kazakhstan
0.014,0.00,,,,,,0.024,,73,66,0,0.223,0.687,0.09,0.603,Asia,"Korea, Dem. Rep."
0.009,28.70,6,1202463655510.00,0.074,1652.00,225,0.003,0.8,84,78,1.1,0.157,0.728,0.114,0.82,Asia,"Korea, Rep."
0.027,33.40,10,6197766119.00,0.062,71.00,210,0.025,0.2,74,66,1.2,0.301,0.656,0.043,0.353,Asia,Kyrgyz Republic
0.028,31.90,93,8254088067.00,0.028,35.00,362,0.057,0.1,69,66,0.8,0.362,0.601,0.037,0.343,Asia,Lao PDR
0.01,0.00,,36634742799.00,,,,,0.6,82,78,2.5,0.124,0.802,0.074,1,Asia,"Macao SAR, China"
0.018,34.00,6,289258937259.00,0.038,384.00,133,0.007,0.6,77,72,1.3,0.272,0.678,0.05,0.717,Asia,Malaysia
0.022,9.30,9,2162990126.00,0.081,525.00,,0.01,0.3,78,76,1.6,0.294,0.655,0.05,0.412,Asia,Maldives
0.023,24.60,13,8761426371.00,0.06,190.00,192,0.028,0.1,71,63,1.1,0.27,0.692,0.038,0.685,Asia,Mongolia
0.018,0.00,,,0.018,19.00,,0.042,0,67,63,0,0.257,0.692,0.051,0.319,Asia,Myanmar
0.022,31.50,29,18850351853.00,0.061,41.00,326,0.035,0.1,69,66,0.5,0.364,0.586,0.05,0.172,Asia,Nepal
0.026,34.60,21,213685918599.00,0.03,36.00,560,0.072,0.1,67,65,0.6,0.349,0.608,0.043,0.37,Asia,Pakistan
0.025,44.50,36,224095219329.00,0.044,105.00,195,0.025,0.3,72,65,1,0.349,0.613,0.038,0.45,Asia,Philippines
0.01,27.10,3,274065043106.00,0.042,2144.00,84,0.002,0.7,84,80,1.5,0.169,0.737,0.093,1,Asia,Singapore
0.018,112.90,37,59178013928.00,0.033,93.00,256,0.009,0.2,77,71,0.9,0.251,0.669,0.08,0.183,Asia,Sri Lanka
0.033,84.50,24,6522732203.00,0.058,48.00,224,0.043,0.1,71,64,0.8,0.358,0.61,0.032,0.265,Asia,Tajikistan
0.011,36.90,29,345672232116.00,0.041,214.00,264,0.012,0.2,77,71,1.2,0.189,0.72,0.091,0.454,Asia,Thailand
0.036,11.00,94,1128300000.00,0.046,46.00,276,0.05,0,68,65,0.6,0.469,0.5,0.032,0.302,Asia,Timor-Leste
0.022,0.00,,29233333333.00,0.021,114.00,,0.05,0.1,69,61,1,0.289,0.671,0.041,0.487,Asia,Turkmenistan
0.022,97.50,14,45324319955.00,0.056,91.00,205,0.039,0.3,71,65,0.9,0.293,0.664,0.043,0.362,Asia,Uzbekistan
0.016,40.00,38,135539487317.00,0.068,93.00,941,0.02,0.4,80,71,1.4,0.231,0.703,0.065,0.31,Asia,Vietnam
0.013,31.50,6,12890867763.00,0.06,243.00,371,0.014,0.5,80,74,1,0.221,0.676,0.103,0.532,Europe,Albania
,0.00,,,0.072,3053.00,,0.002,0.8,,,0.8,,,,0.873,Europe,Andorra
0.009,52.30,25,415984217115.00,0.113,5643.00,170,0.003,0.8,84,78,1.5,0.146,0.673,0.181,0.659,Europe,Austria
0.012,62.30,10,59734593905.00,0.049,311.00,654,0.004,0.4,77,65,1.1,0.149,0.712,0.138,0.75,Europe,Belarus
0.012,57.00,4,513317999900.00,0.105,4914.00,156,0.004,0.8,83,78,1.1,0.168,0.658,0.174,0.977,Europe,Belgium
0.009,23.70,40,18252896439.00,0.099,471.00,422,0.006,0.6,79,73,0.8,0.169,0.678,0.153,0.393,Europe,Bosnia and Herzegovina
0.01,27.20,18,53542780661.00,0.073,522.00,500,0.011,0.5,78,71,1.4,0.134,0.68,0.186,0.726,Europe,Bulgaria
0.01,21.90,8,61520901516.00,0.068,992.00,196,0.004,0.6,80,74,1.2,0.151,0.671,0.177,0.578,Europe,Croatia
0.012,22.00,8,24851264943.00,0.074,2123.00,149,0.003,0.6,82,77,1,0.174,0.708,0.118,0.674,Europe,Cyprus
0.01,48.10,20,216061200559.00,0.075,1545.00,557,0.003,0.7,81,75,1.2,0.143,0.699,0.158,0.732,Europe,Czech Republic
0.011,26.40,6,333743578564.00,0.109,6521.00,135,0.003,0.9,82,78,1.3,0.178,0.651,0.171,0.87,Europe,Denmark
0.011,57.60,7,22542967739.00,0.058,928.00,81,0.003,0.8,81,71,1.4,0.155,0.668,0.176,0.68,Europe,Estonia
0.012,0.00,,,,,,,0.8,84,79,1.2,,,,0.411,Europe,Faeroe Islands
0.011,39.00,14,262379400238.00,0.09,4411.00,93,0.002,0.9,84,77,1.7,0.164,0.659,0.177,0.837,Europe,Finland
0.013,64.70,7,2782210861683.00,0.116,4968.00,132,0.004,0.8,86,79,0.9,0.183,0.646,0.171,0.786,Europe,France
0.008,45.60,15,3628110015053.00,0.113,4996.00,221,0.003,0.8,83,78,1.1,0.133,0.657,0.21,0.745,Europe,Germany
0.01,45.90,11,289886951188.00,0.09,2304.00,224,0.004,0.5,84,78,1.1,0.146,0.663,0.192,0.766,Europe,Greece
0.009,52.00,4,137452115093.00,0.079,1096.00,277,0.006,0.7,79,71,1.2,0.146,0.685,0.169,0.693,Europe,Hungary
0.014,29.60,5,14042801904.00,0.092,4051.00,140,0.002,0.9,84,81,1.1,0.208,0.669,0.123,0.937,Europe,Iceland
0.016,25.40,13,226035376257.00,0.088,4306.00,76,0.003,0.7,83,79,1.1,0.215,0.67,0.115,0.621,Europe,Ireland
,0.00,,,,,,,,,,,,,,0.52,Europe,Isle of Man
0.009,67.70,6,2196336800620.00,0.092,3339.00,285,0.003,0.5,85,80,1.6,0.14,0.654,0.205,0.684,Europe,Italy
0.018,15.40,58,6630214452.00,,,164,,,72,68,,,,,,Europe,Kosovo
0.009,37.10,16,28480338368.00,0.06,826.00,290,0.008,0.7,79,69,1.1,0.143,0.672,0.185,0.676,Europe,Latvia
0.011,0.00,,,,,,,0.9,84,80,1,,,,0.144,Europe,Liechtenstein
0.011,43.10,22,43083067994.00,0.067,887.00,175,0.005,0.6,79,68,1.6,0.151,0.693,0.155,0.667,Europe,Lithuania
0.011,19.80,19,58009863403.00,0.067,7751.00,59,0.002,0.9,84,79,1.5,0.175,0.685,0.14,0.889,Europe,Luxembourg
